"","Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","TEAM","SALARY","EVAL"
"278","Norman Powell",303,"SG",22,"TOR",49,24,14.8,2,4.7,0.424,0.7,1.8,0.404,1.2,2.9,0.436,0.502,0.9,1.1,0.811,0.3,1.9,2.3,1,0.6,0.2,0.7,1.2,5.6,"Toronto Raptors",650000,7.36936
"304","Richaun Holmes",301,"PF",22,"PHI",51,1,13.8,2.2,4.4,0.514,0.2,0.9,0.182,2.1,3.5,0.596,0.532,1,1.5,0.689,1.2,1.4,2.6,0.6,0.4,0.8,0.6,1.8,5.6,"Philadelphia 76ers",1074169,8.20344
"346","Tiago Splitter",304,"C",31,"ATL",36,2,16.1,2.3,4.3,0.523,0,0.1,0,2.3,4.3,0.529,0.523,1.1,1.3,0.813,1.3,2.1,3.3,0.8,0.6,0.3,0.7,2,5.6,"Atlanta Hawks",9756250,8.25294
"361","Troy Daniels",298,"SG",24,"CHO",43,0,11.1,2.1,4.3,0.476,1.4,2.8,0.484,0.7,1.5,0.462,0.634,0.1,0.2,0.556,0.2,1.2,1.3,0.5,0.3,0.1,0.6,0.9,5.6,"Charlotte Hornets",947276,7.67774
"35","Boban Marjanovic",308,"C",27,"SAS",54,4,9.4,1.9,3.2,0.603,0,0,0.293816618911175,1.9,3.2,0.603,0.603,1.6,2.1,0.763,1.4,2.2,3.6,0.4,0.2,0.4,0.5,1,5.5,"San Antonio Spurs",1200000,9.11736
"69","Cole Aldrich",305,"C",27,"LAC",60,5,13.3,2.2,3.8,0.596,0,0,0.293816618911175,2.2,3.8,0.596,0.596,1,1.4,0.714,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,"LA Clippers",1100602,11.13328
"225","Larry Nance Jr.",309,"PF",23,"LAL",63,22,20.1,2.5,4.8,0.527,0,0.2,0.1,2.5,4.6,0.541,0.528,0.5,0.7,0.681,1.6,3.3,5,0.7,0.9,0.4,0.7,2,5.5,"Los Angeles Lakers",1155600,9.65712
"19","Andrew Bogut",311,"C",31,"GSW",70,66,20.7,2.5,4,0.627,0,0,1,2.5,4,0.626,0.629,0.3,0.7,0.48,1.7,5.3,7,2.3,0.5,1.6,1.2,3.2,5.4,"Golden State Warriors",13800000,14.85069
"226","Lavoy Allen",310,"PF",26,"IND",79,28,20.2,2.4,4.7,0.516,0,0,0.293816618911175,2.4,4.7,0.516,0.516,0.6,0.9,0.63,2.1,3.3,5.4,1,0.3,0.5,0.9,1.9,5.4,"Indiana Pacers",4050000,9.12288
"26","Anthony Tolliver",314,"PF",30,"DET",72,5,18.6,1.8,4.6,0.386,1.4,3.8,0.36,0.4,0.8,0.5,0.533,0.4,0.7,0.617,0.5,2.6,3.2,0.7,0.4,0.2,0.4,1.2,5.3,"Detroit Pistons",3000000,7.94703
"354","Tony Snell",313,"SF",24,"CHI",64,33,20.3,2,5.3,0.372,0.9,2.4,0.361,1.1,2.9,0.38,0.454,0.5,0.5,0.909,0.3,2.8,3.1,1,0.3,0.3,0.8,1.6,5.3,"Chicago Bulls",1535880,6.59208
"137","JaKarr Sampson",320,"SF",22,"TOT",73,40,15.9,1.9,4.3,0.442,0.2,0.9,0.222,1.7,3.5,0.496,0.464,1.1,1.7,0.656,0.6,2,2.6,0.6,0.3,0.5,1,1.9,5.1,"Philadelphia 76ers",258489,6.032
